Source,Date,Mean
GCAG,11/6/1991,0.3175
,,
GCAG,10/6/1991,0.3292
,,
GCAG,9/6/1991,0.3863
,,
GCAG,8/6/1991,0.388
,,
GCAG,7/6/1991,0.4462
,,
GCAG,6/6/1991,0.4813
,,
GCAG,5/6/1991,0.4107
,,
GCAG,4/6/1991,0.5168
,,
GCAG,3/6/1991,0.3658
,,
GCAG,2/6/1991,0.4661
,,
GCAG,1/6/1991,0.4512
,,
GCAG,12/6/1990,0.4481
,,
GCAG,11/6/1990,0.4797
,,
GCAG,10/6/1990,0.4277
,,
GCAG,9/6/1990,0.3144
,,
GCAG,8/6/1990,0.3479
,,
GCAG,7/6/1990,0.3453
,,
GCAG,6/6/1990,0.4114
,,
GCAG,5/6/1990,0.4274
,,
GCAG,4/6/1990,0.4907
,,
GCAG,3/6/1990,0.7328
,,
GCAG,2/6/1990,0.4072
,,
GCAG,1/6/1990,0.3613
,,
GCAG,12/6/1989,0.4013
,,
GCAG,11/6/1989,0.2541
,,
GCAG,10/6/1989,0.3044
,,
GCAG,9/6/1989,0.3019
,,
GCAG,8/6/1989,0.3021
,,
GCAG,7/6/1989,0.3016
,,
GCAG,6/6/1989,0.2727
,,
GCAG,5/6/1989,0.2779
,,
GCAG,4/6/1989,0.2891
,,
GCAG,3/6/1989,0.336
,,
GCAG,2/6/1989,0.3072
,,
GCAG,1/6/1989,0.2157
,,
GCAG,12/6/1988,0.3626
,,
GCAG,11/6/1988,0.2291
,,
GCAG,10/6/1988,0.3009
,,
GCAG,9/6/1988,0.3211
,,
GCAG,8/6/1988,0.3199
,,
GCAG,7/6/1988,0.3431
,,
GCAG,6/6/1988,0.3865
,,
GCAG,5/6/1988,0.3811
,,
GCAG,4/6/1988,0.4426
,,
GCAG,3/6/1988,0.4828
,,
GCAG,2/6/1988,0.3901
,,
GCAG,1/6/1988,0.5487
,,
GCAG,12/6/1987,0.5316
,,
GCAG,11/6/1987,0.3306
,,
GCAG,10/6/1987,0.3347
,,
GCAG,9/6/1987,0.4321
,,
GCAG,8/6/1987,0.3832
,,
GCAG,7/6/1987,0.4182
,,
GCAG,6/6/1987,0.3013
,,
GCAG,5/6/1987,0.3339
,,
GCAG,4/6/1987,0.3009
,,
GCAG,3/6/1987,0.2541
,,
GCAG,2/6/1987,0.5028
,,
GCAG,1/6/1987,0.3115
,,
GCAG,12/6/1986,0.2179
,,
GCAG,11/6/1986,0.1548
,,
GCAG,10/6/1986,0.2066
,,
GCAG,9/6/1986,0.1716
,,
GCAG,8/6/1986,0.1698
,,
GCAG,7/6/1986,0.1686
,,
GCAG,6/6/1986,0.2534
,,
GCAG,5/6/1986,0.2507
,,
GCAG,4/6/1986,0.2613
,,
GCAG,3/6/1986,0.2966
,,
GCAG,2/6/1986,0.2788
,,
GCAG,1/6/1986,0.3249
,,
GCAG,12/6/1985,0.1978
,,
GCAG,11/6/1985,0.1181
,,
GCAG,10/6/1985,0.1303
,,
GCAG,9/6/1985,0.101
,,
GCAG,8/6/1985,0.1287
,,
GCAG,7/6/1985,0.0779
,,
GCAG,6/6/1985,0.129
,,
GCAG,5/6/1985,0.1959
,,
GCAG,4/6/1985,0.1488
,,
GCAG,3/6/1985,0.1875
,,
GCAG,2/6/1985,0.0176
,,
GCAG,1/6/1985,0.1783
,,
GCAG,12/6/1984,-0.0926
,,
GCAG,11/6/1984,0.0365
,,
GCAG,10/6/1984,0.1187
,,
GCAG,9/6/1984,0.1431
,,
GCAG,8/6/1984,0.1687
,,
GCAG,7/6/1984,0.1193
,,
GCAG,6/6/1984,0.1306
,,
GCAG,5/6/1984,0.2834
,,
GCAG,4/6/1984,0.1503
,,
GCAG,3/6/1984,0.272
,,
GCAG,2/6/1984,0.1753
,,
GCAG,1/6/1984,0.2831
,,
GCAG,12/6/1983,0.2748
,,
GCAG,11/6/1983,0.4313
,,
GCAG,10/6/1983,0.2113
,,
GCAG,9/6/1983,0.3175
,,
GCAG,8/6/1983,0.3228
,,
GCAG,7/6/1983,0.2663
,,
GCAG,6/6/1983,0.2629
,,
GCAG,5/6/1983,0.2881
,,
GCAG,4/6/1983,0.2918
,,
GCAG,3/6/1983,0.4256
,,
GCAG,2/6/1983,0.4834
,,
GCAG,1/6/1983,0.5169
,,
GCAG,12/6/1982,0.4355
,,
GCAG,11/6/1982,0.151
,,
GCAG,10/6/1982,0.1771
,,
GCAG,9/6/1982,0.233
,,
GCAG,8/6/1982,0.1406
,,
GCAG,7/6/1982,0.1436
,,
GCAG,6/6/1982,0.1231
,,
GCAG,5/6/1982,0.1923
,,
GCAG,4/6/1982,0.2054
,,
GCAG,3/6/1982,0.0833
,,
GCAG,2/6/1982,0.1593
,,
GCAG,1/6/1982,0.1342
,,
GCAG,12/6/1981,0.42
,,
GCAG,11/6/1981,0.2119
,,
GCAG,10/6/1981,0.1687
,,
GCAG,9/6/1981,0.186
,,
GCAG,8/6/1981,0.2428
,,
GCAG,7/6/1981,0.2268
,,
GCAG,6/6/1981,0.2853
,,
GCAG,5/6/1981,0.262
,,
GCAG,4/6/1981,0.3579
,,
GCAG,3/6/1981,0.4083
,,
GCAG,2/6/1981,0.3629
,,
GCAG,1/6/1981,0.4656
,,
GCAG,12/6/1980,0.2674
,,
GCAG,11/6/1980,0.3319
,,
GCAG,10/6/1980,0.1821
,,
GCAG,9/6/1980,0.2008
,,
GCAG,8/6/1980,0.1957
,,
GCAG,7/6/1980,0.2172
,,
GCAG,6/6/1980,0.2474
,,
GCAG,5/6/1980,0.316
,,
GCAG,4/6/1980,0.3082
,,
GCAG,3/6/1980,0.2389
,,
GCAG,2/6/1980,0.3506
,,
GCAG,1/6/1980,0.308
,,
GCAG,12/6/1979,0.5032
,,
GCAG,11/6/1979,0.2953
,,
GCAG,10/6/1979,0.2945
,,
GCAG,9/6/1979,0.2519
,,
GCAG,8/6/1979,0.2263
,,
GCAG,7/6/1979,0.1746
,,
GCAG,6/6/1979,0.2183
,,
GCAG,5/6/1979,0.1569
,,
GCAG,4/6/1979,0.1112
,,
GCAG,3/6/1979,0.243
,,
GCAG,2/6/1979,0.0922
,,
GCAG,1/6/1979,0.1602
,,
GCAG,12/6/1978,0.1512
,,
GCAG,11/6/1978,0.2245
,,
GCAG,10/6/1978,0.0646
,,
GCAG,9/6/1978,0.0748
,,
GCAG,8/6/1978,0.0033
,,
GCAG,7/6/1978,0.0699
,,
GCAG,6/6/1978,0.0532
,,
GCAG,5/6/1978,0.0596
,,
GCAG,4/6/1978,0.1324
,,
GCAG,3/6/1978,0.2228
,,
GCAG,2/6/1978,0.1306
,,
GCAG,1/6/1978,0.1606
,,
GCAG,12/6/1977,0.1124
,,
GCAG,11/6/1977,0.2603
,,
GCAG,10/6/1977,0.1189
,,
GCAG,9/6/1977,0.1867
,,
GCAG,8/6/1977,0.1418
,,
GCAG,7/6/1977,0.1737
,,
GCAG,6/6/1977,0.2474
,,
GCAG,5/6/1977,0.2368
,,
GCAG,4/6/1977,0.282
,,
GCAG,3/6/1977,0.3109
,,
GCAG,2/6/1977,0.2384
,,
GCAG,1/6/1977,0.0639
,,
GCAG,12/6/1976,0.0906
,,
GCAG,11/6/1976,-0.0432
,,
GCAG,10/6/1976,-0.1821
,,
GCAG,9/6/1976,-0.0426
,,
GCAG,8/6/1976,-0.0894
,,
GCAG,7/6/1976,-0.0846
,,
GCAG,6/6/1976,-0.074
,,
GCAG,5/6/1976,-0.1228
,,
GCAG,4/6/1976,-0.0223
,,
GCAG,3/6/1976,-0.2394
,,
GCAG,2/6/1976,-0.1221
,,
GCAG,1/6/1976,-0.0181
,,
GCAG,12/6/1975,-0.0895
,,
GCAG,11/6/1975,-0.145
,,
GCAG,10/6/1975,-0.1236
,,
GCAG,9/6/1975,0.017
,,
GCAG,8/6/1975,-0.0671
,,
GCAG,7/6/1975,0.0055
,,
GCAG,6/6/1975,0.0342
,,
GCAG,5/6/1975,0.0693
,,
GCAG,4/6/1975,0.0779
,,
GCAG,3/6/1975,0.1096
,,
GCAG,2/6/1975,0.0326
,,
GCAG,1/6/1975,0.1201
,,
GCAG,12/6/1974,-0.0976
,,
GCAG,11/6/1974,-0.0671
,,
GCAG,10/6/1974,-0.0831
,,
GCAG,9/6/1974,-0.0428
,,
GCAG,8/6/1974,0.0131
,,
GCAG,7/6/1974,0.0195
,,
